date,role,program,transport_mode,distance_km,travel_energy_kwh,travel_co2_kg,personal_computer_kwh,personal_computer_co2_kg,students_trained,lab_energy_kwh,total_daily_co2_kg
2025-01-30,CEO,TechSaksham,Flight,1965.88,982.94,294.88,0.36,0.3,0,0.0,295.18
2025-01-16,CEO,Code Unnati,Flight,1978.2,989.1,296.73,0.36,0.3,0,0.0,297.03
2025-01-25,CEO,SkillsBuild,Flight,1489.81,744.9,223.47,0.36,0.3,0,0.0,223.77
2025-02-24,CEO,TechSaksham,Cab,37.88,9.47,4.55,0.36,0.3,0,0.0,4.84
2025-02-16,CEO,Skills4Future,Flight,1898.44,949.22,284.77,0.36,0.3,0,0.0,285.06
2025-02-05,CEO,Skills4Future,Flight,1122.93,561.46,168.44,0.36,0.3,0,0.0,168.73
2025-03-19,CEO,SkillsBuild,Cab,34.75,8.69,4.17,0.36,0.3,0,0.0,4.47
2025-03-04,CEO,Skills4Future,Flight,782.63,391.31,117.39,0.36,0.3,0,0.0,117.69
2025-03-06,CEO,SkillSaksham,Flight,1528.82,764.41,229.32,0.36,0.3,0,0.0,229.62
2025-03-02,CEO,Code Unnati,Flight,1197.8,598.9,179.67,0.36,0.3,0,0.0,179.97
2025-04-16,CEO,SkillSaksham,Flight,837.14,418.57,125.57,0.36,0.3,0,0.0,125.87
2025-04-08,CEO,Skills4Future,Cab,11.53,2.88,1.38,0.36,0.3,0,0.0,1.68
2025-04-22,CEO,Code Unnati,Flight,858.71,429.36,128.81,0.36,0.3,0,0.0,129.1
2025-05-15,CEO,TechSaksham,Flight,892.51,446.26,133.88,0.36,0.3,0,0.0,134.17
2025-05-17,CEO,SkillsBuild,Flight,1969.6,984.8,295.44,0.36,0.3,0,0.0,295.74
2025-05-21,CEO,Skills4Future,Flight,1062.24,531.12,159.34,0.36,0.3,0,0.0,159.63
2025-06-29,CEO,Code Unnati,Flight,825.03,412.51,123.75,0.36,0.3,0,0.0,124.05
2025-06-14,CEO,SkillsBuild,Flight,1202.76,601.38,180.41,0.36,0.3,0,0.0,180.71
2025-06-18,CEO,TechSaksham,Cab,28.65,7.16,3.44,0.36,0.3,0,0.0,3.73
2025-07-19,CEO,Skills4Future,Cab,26.23,6.56,3.15,0.36,0.3,0,0.0,3.44
2025-07-21,CEO,Code Unnati,Flight,1922.17,961.09,288.33,0.36,0.3,0,0.0,288.62
2025-07-14,CEO,SkillsBuild,Flight,909.05,454.53,136.36,0.36,0.3,0,0.0,136.65
2025-08-15,CEO,Code Unnati,Flight,1155.1,577.55,173.27,0.36,0.3,0,0.0,173.56
2025-08-24,CEO,SkillsBuild,Flight,1340.27,670.14,201.04,0.36,0.3,0,0.0,201.34
2025-08-31,CEO,SkillSaksham,Flight,1348.95,674.48,202.34,0.36,0.3,0,0.0,202.64
2025-08-30,CEO,Skills4Future,Flight,1539.11,769.56,230.87,0.36,0.3,0,0.0,231.16
2025-09-18,CEO,TechSaksham,Flight,1803.27,901.64,270.49,0.36,0.3,0,0.0,270.79
2025-09-23,CEO,SkillsBuild,Flight,1167.34,583.67,175.1,0.36,0.3,0,0.0,175.4
2025-09-04,CEO,SkillSaksham,Flight,1245.72,622.86,186.86,0.36,0.3,0,0.0,187.15
2025-10-10,CEO,SkillsBuild,Flight,1769.38,884.69,265.41,0.36,0.3,0,0.0,265.7
2025-10-22,CEO,Code Unnati,Flight,1378.92,689.46,206.84,0.36,0.3,0,0.0,207.13
2025-10-30,CEO,SkillSaksham,Flight,1954.83,977.41,293.22,0.36,0.3,0,0.0,293.52
2025-10-09,CEO,Skills4Future,Cab,11.8,2.95,1.42,0.36,0.3,0,0.0,1.71
2025-11-25,CEO,SkillSaksham,Flight,1245.48,622.74,186.82,0.36,0.3,0,0.0,187.12
2025-11-29,CEO,Skills4Future,Flight,906.24,453.12,135.94,0.36,0.3,0,0.0,136.23
2025-11-04,CEO,SkillsBuild,Flight,819.34,409.67,122.9,0.36,0.3,0,0.0,123.2
2025-11-07,CEO,SkillsBuild,Flight,1973.36,986.68,296.0,0.36,0.3,0,0.0,296.3
2025-12-11,CEO,Skills4Future,Flight,1536.27,768.14,230.44,0.36,0.3,0,0.0,230.74
2025-12-06,CEO,SkillsBuild,Cab,33.72,8.43,4.05,0.36,0.3,0,0.0,4.34
2025-12-15,CEO,Skills4Future,Flight,1949.55,974.77,292.43,0.36,0.3,0,0.0,292.73
2025-01-22,Director,SkillsBuild,Flight,1448.7,724.35,217.31,0.36,0.3,0,0.0,217.6
2025-01-06,Director,Code Unnati,Flight,1183.62,591.81,177.54,0.36,0.3,0,0.0,177.84
2025-01-27,Director,SkillSaksham,Flight,1583.8,791.9,237.57,0.36,0.3,0,0.0,237.86
2025-01-21,Director,SkillsBuild,Flight,1191.05,595.52,178.66,0.36,0.3,0,0.0,178.95
